User;GameElement;QuestionCount;CorrectCount;QuizCount;PassedQuizCount;FullyCompletedLessonCount;Time;RestartedQuizCount;Gender;achiever;player;socialiser;freeSpirit;disruptor;philanthropist;micoI; miacI; mistI; meidI; meinI; mereI; amotI; micoF; miacF; mistF; meidF; meinF; mereF; amotF; micoVar; miacVar; mistVar; meidVar; meinVar; mereVar; amotVar
elevehg14;badges;95;68;16;12;0;01:18:41;3;Male;7;11;-1;10;-4;10;11;17;11;16;14;18;4;12;17;12;15;18;15;9;1;0;1;-1;4;-3;5
elevehg15;timer;80;31;14;2;0;01:06:44;0;Male;-2;9;-3;12;-5;10;10;15;7;13;6;8;13;9;9;4;13;6;7;11;-1;-6;-3;0;0;-1;-2
elevekf02;badges;70;55;13;10;0;01:06:00;1;Female;10;8;6;10;4;9;17;20;17;18;20;15;7;12;20;15;16;19;16;11;-5;0;-2;-2;-1;1;4
elevekf03;timer;69;40;13;4;0;01:00:40;0;Female;1;6;9;10;-1;0;12;16;10;10;14;16;8;12;14;9;14;14;14;14;0;-2;-1;4;0;-2;6
elevekf04;progress;64;43;11;5;0;01:14:22;0;Female;8;6;-3;-3;-5;9;8;17;12;16;14;19;5;10;16;9;16;16;18;10;2;-1;-3;0;2;-1;5
elevekf05;avatar;117;73;17;11;2;01:33:25;1;Female;9;9;10;11;-5;12;17;18;16;16;14;16;4;13;14;14;16;9;12;8;-4;-4;-2;0;-5;-4;4
elevekf06;ranking;72;25;14;3;0;00:51:47;0;Female;0;9;2;3;-4;2;12;15;10;17;13;15;11;10;10;6;15;11;16;13;-2;-5;-4;-2;-2;1;2
elevekf08;badges;72;56;14;11;2;01:11:13;1;Female;5;5;4;3;-4;5;16;16;17;18;15;19;6;13;14;16;18;17;18;8;-3;-2;-1;0;2;-1;2
elevekf09;timer;88;36;15;3;0;01:14:49;0;Female;-5;-7;-6;1;-2;1;10;10;4;8;11;8;14;6;4;7;10;6;7;8;-4;-6;3;2;-5;-1;-6
elevekf10;progress;104;57;15;2;0;01:15:29;0;Female;7;11;9;5;-2;4;16;15;13;19;14;20;7;14;17;15;19;14;19;8;-2;2;2;0;0;-1;1
elevekf11;avatar;108;78;22;14;3;01:33:54;2;Female;3;10;6;7;-1;8;13;15;13;20;18;17;7;11;13;14;16;13;15;8;-2;-2;1;-4;-5;-2;1
elevekf12;ranking;68;46;11;5;0;01:01:37;0;Female;6;11;9;12;-3;12;15;18;12;11;14;18;4;10;15;13;11;17;20;12;-5;-3;1;0;3;2;8
elevekf13;score;91;78;20;16;2;01:16:51;1;Female;7;-1;0;7;-5;2;12;15;13;17;17;10;8;11;14;14;19;11;8;9;-1;-1;1;2;-6;-2;1
